Area,Career Level,Company,Company Website,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,JobtickAnalystjobs,JobtickAvgsalary,JobtickDashboard,JobtickEngineerjobs,jobtickExcel,jobtickPython,JobtickScientistjobs,jobtickSQL,YearsofExperience
Not Specified,Senior,Superior Autonomation Limited,Not Specified,15-10-2021,22-10-2021,0,no-email@email.com,Electronics/Electrical Equipment,"Information Technology (IT), Network & System, Mobile / Wireless Communications","['6-8 years of hands-on development experience', 'Professional in multiple programming language', 'software code, design flow and algorithm']",/hk/en/job/system-analyst-100003008813235,System Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,1,0,1,6
Not Specified,Entry,AAStocks.com Limited,http://www.aastocks.com,11-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, UI/UX Designer","['Working closely with Design team', 'Provide project rollout presentation', '2+ years’ expin digital product development']",/hk/en/job/business-analyst-100003008807425,Business Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,2
Not Specified,Middle,LiquidStack Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Engineering, Others, Information Technology (IT), Technical Writing, Sciences, Lab, R&D, Research & Development (R&D)","['Exciting Climate Conscious Technology', 'Company Equity (Restricted Share Units) Offered', 'Annual Performance Incentive Plan']",/hk/en/job/technical-writer-liquid-immersion-cooling-100003008824008,Technical Writer (Liquid Immersion Cooling),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,0,0,0,5
Not Specified,Entry,KanHan Technologies Limited,http://www.kanhan.com,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Network & System","['Manage day-to-day project activities and meetings', 'Monitor and review project progress', 'Dynamic working environment, encourge creativity']",/hk/en/job/project-executive-100003008818454,Project Executive,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,2
Not Specified,Entry,Neo Derm (HK) Limited,http://career.neoderm.com.hk,18-10-2021,22-10-2021,0,no-email@email.com,Health & Beauty Care,"Information Technology (IT), Application Specialist - Software, Software Development","['Full stack on JavaScript, CSS & Bootstrap', 'MS SQL Server, MySQL 8 & MongoDB', 'Fresh graduate are welcome']",/hk/en/job/analyst-programmer-programmer-website-support-100003008820212,Analyst Programmer / Programmer – Website Support,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,2
Not Specified,Senior,Optimum Solutions (Hong Kong) Limited,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Software Development","['Inhouse Team Lead role', 'Solid experience in .Net, MySQL', 'Strong communication and interpersonal skills']",/hk/en/job/team-lead-application-development-100003008827072,"Team Lead, Application Development","Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,0,0,0,0,1,8
Not Specified,Middle,Endeavour Search Limited,http://www.endeavourasia.com/,19-10-2021,22-10-2021,['3956-1828'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Software Development, Technical / Functional Consulting","['Australian Listed Company', 'Fintech / Digital Transformation Projects', 'VB.NET skill is a MUST']",/hk/en/job/senior-analyst-programmer-vb-net-hkd45k-55k-fintech-projects-100003008822604,Senior Analyst Programmer - VB.Net – HKD45K-55K – Fintech Projects,"Full Time, Permanent",Degree,HK$35K-45K/month,Data Scientist,1,40,0,0,0,0,0,1,2
Not Specified,Entry,Infocast Limited,http://www.infocast.com.hk,15-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Application Specialist - Software, Software Development","['Financial application development and enhancement', 'Perform UAT', '2yrs exp. in software development']",/hk/en/job/analyst-programmer-100003008815044,Analyst Programmer,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Middle,MPower Technologies Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Others,"Information Technology (IT), Application Specialist - Software, Product Management / Business Analyst, Software Development","['System Analyst,develop IT Web&Mobile Apps services', 'Node.js,React.JS,CSS,JSON,RESTful,Git,React Native', 'managing system analysis&design,software developme']",/hk/en/job/system-analyst-100003008823908,SYSTEM ANALYST,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,3
Not Specified,Senior,Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),http://www.astri.org,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Engineering, Electrical / Electronics, Information Technology (IT), Application Specialist - Software, Software Development","['3D reconstruction, 3D graphics algorithm', 'Stable working environment with career path', 'R&D projects with good exposure, 5 days work']",/hk/en/job/senior-lead-engineer-lead-engineer-3d-vision-100003008817057,"Senior Lead Engineer / Lead Engineer, 3D Vision","Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,1,1,0,0,1
Not Specified,Entry,Konew Financial Express Limited 康業信貸快遞,http://www.konew.com,18-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Application Specialist - Software, Software Development, E-commerce, Software Development","['Fintech job opportunity', 'Development of latest FinTech systems', 'Diploma in Computer Studies/Comput']",/hk/en/job/analyst-programmer-100003008820343,Analyst Programmer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Senior,Talent Fields Hong Kong Company Limited,Not Specified,15-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), IT Project Management / Team Lead","['Team Management', 'Perm role', 'Experience implementing and working with vendors']",/hk/en/job/senior-it-business-analyst-up-to-78k-agile-permanent-100003008814894,Senior IT Business Analyst - up to 78k (Agile - Permanent),"Full Time, Permanent",Not Specified,HK$45K-55K/month,Data Scientist,1,50,0,0,0,0,0,0,1
Not Specified,Middle,Jebsen & Co Limited,http://www.jebsen.com,11-10-2021,22-10-2021,0,no-email@email.com,Others,"Information Technology (IT), IT Project Management / Team Lead, Support, Product Management / Business Analyst","['Gather business requirements from users', '5 years or above working experience', '5 days work, good benefits']",/hk/en/job/business-analyst-ref%3A-b020-100003008807760,Business Analyst  (Ref: B020),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,5
Not Specified,Entry,PeopleLink Services Limited,http://www.peoplelink-group.com/,06-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist","['AI/ ML, Python or R, Machine Learning Framework', 'Participate in AIML project development', 'large scale organization good remuneration package']",/hk/en/job/artificial-intelligence-ai-machine-learning-ml-engineer-100003008795725,Artificial Intelligence (AI) / Machine Learning (ML) Engineer,"Full Time, Permanent",Not Specified,HK$45K-55K/month,Data Scientist,0,50,0,1,0,1,0,0,1
Not Specified,Senior,Osmium Consulting Group Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), IT Project Management / Team Lead, IT Management, Product Management / Business Analyst","['MNC | Digital Media | FinTech | In-House Permanent', 'Career Path | Fast Growing | Data-Driven | 2+ year', '5 Days Work | Attractive Package | WFH Arrangement']",/hk/en/job/product-manager-executive-up-to-35k-100003008827730,Product Manager / Executive ( Up to 35K ),"Full Time, Permanent",Not Specified,HK$25K-35K/month,Data Scientist,0,30,0,0,1,0,0,0,1
Not Specified,Middle,Avanade Hong Kong Limited,Not Specified,13-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Technical / Functional Consulting, Data Scientist","['Created by Accenture and Microsoft', ""13M's Pay,15 Annual Leave, ESPP, Group Medical"", 'Housing Bonus, Kudos Program, Mobile&Extend Bonus']",/hk/en/job/data-engineering-etl-developer-bi-developer-bi-engineer-sql-developer-data-analyst-100003008813795,Data Engineering/ETL Developer/BI Developer/BI Engineer/ SQL Developer/Data Analyst,"Full Time, Permanent",Degree,HK$35K-55K/month,Data Scientist,1,45,1,1,0,0,0,1,2
Not Specified,Middle,Global Executive Consultants Limited.,http://www.globexec.com,15-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Product Management / Business Analyst, Software Development, Data Scientist","['RPA, UiPath', 'Workflow', 'Data Visualization']",/hk/en/job/digital-transformation-implementer-uipath-bank-hk%2425k-%2435k-ref-no-%3A-25117-100003008815211,Digital Transformation Implementer (UiPath) – Bank (HK$25K - $35K) (Ref. No.: 25117),"Full Time, Permanent",Degree,HK$25K-35K/month,Data Scientist,0,0,0,0,0,0,0,0,1
Not Specified,Entry,Computer And Technologies Software Limited,Not Specified,13-10-2021,22-10-2021,0,['hr_manager @ctil.com'],Information Technology,"Information Technology (IT), Product Management / Business Analyst, Software Development, Technical / Functional Consulting","['Assist client on new application systems projects', 'Exp. in Windows Server/ MS .Net/ SQL/ POS system', 'Birthday Leave, Examination & Graduation Time Off']",/hk/en/job/business-analyst-consultant-retail-management-systems-ref%3A-jdb-erm-ba-100003008812426,Business Analyst / Consultant – Retail Management Systems (Ref: JDB/ERM/BA),"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,2
Not Specified,Entry,PwC,Not Specified,11-10-2021,22-10-2021,0,no-email@email.com,Accounting/Audit/Tax Services,"Information Technology (IT), Support, Security, Others","['Demonstrates courage and integrity', 'Lead and contribute to team success', 'Works hard to build and sustain relationships']",/hk/en/job/systems-engineer-associate-cyber-fusion-center-analyst-global-technology-solutions-fcs-100003008808915,Systems Engineer - Associate (Cyber Fusion Center Analyst) - Global Technology Solutions - FCS,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,1,0,1,0,0,2
Not Specified,Senior,Dah Chong Hong Holdings Limited,http://www.dch.com.hk,18-10-2021,22-10-2021,0,no-email@email.com,Mixed Industry Group,"Information Technology (IT), IT Project Management / Team Lead, Software Development, Others","['Bachelor’s Degree in Computer Science, IT', 'At least 3-5 year IT experience', 'Experience in Microsoft Azure & AWS Cloud']",/hk/en/job/innovation-project-manager-senior-innovation-officer-with-less-experience-ref%3A-am-git-100003008821558,Innovation Project Manager / Senior Innovation Officer (with less experience) (Ref: AM-GIT),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,3
Not Specified,Entry,Morgan Half International (Hong Kong) Limited,https://www.morganhalf.com/,17-10-2021,22-10-2021,0,['info @morganhalf.com'],Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Software Development, Technical Writing","['Software Development', 'Front end/Back end/Full SDLC', 'Welcome candidates from different background']",/hk/en/job/programmer-analyst-programmer-system-analyst-welcome-candidates-from-different-background-100003008819647,Programmer / Analyst Programmer / System Analyst (Welcome candidates from different background),"Full Time, Permanent",Not Specified,HK$20K-55K/month,Data Scientist,1,37,0,0,0,0,0,1,1
Not Specified,Entry,Changjiang Securities International Financial Group Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Application Specialist - Software, Support, IT Management","['Application Analyst', 'Experience in Securities & Futures Firm', 'Attractive Remuneration Package']",/hk/en/job/application-analyst-securities-futures-firm-100003008822748,Application Analyst (Securities & Futures Firm),"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Entry,Nexify Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Software Development, Testing / QA, Others","['Test Planning, cases definition, performing test', 'Participate in UAT and automation testing', 'Attractive remuneration package & 5 days work']",/hk/en/job/qa-engineer-manual-automation-100003008820747,QA Engineer – Manual / Automation,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,1,0,0,0,2
Not Specified,Entry,Mirum Hong Kong,https://mirumhongkong.com/,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Application Specialist - Software, Software Development, Technical / Functional Consulting","['An attractive salary and benefits package', 'Participate in a large, young fast-growing team', 'Experience to work with well-known enterprises']",/hk/en/job/technology-developer-senior-technology-developer-100003008822380,Technology Developer / Senior Technology Developer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,0,1,0,0,1,2
Not Specified,Middle,NewPages Recruitment Company Limited,http://www.newpages.hk,13-10-2021,22-10-2021,['3611-9956'],['helen_fong @newpages.hk'],Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Product Management / Business Analyst, Software Development","['Attractive remuneration packages', 'Young, Friendly and energetic working environment', 'Give professional advices to business partners']",/hk/en/job/senior-business-analyst-up-to-45k-100003008813931,(Senior) Business Analyst (up to 45k),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Middle,Global Logistics System (HK) Co Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Support, Application Specialist - Network, Network & System","['Data centre / network management', 'Cyber Security management', 'Cloud computing management']",/hk/en/job/senior-infrastructure-engineer-5-day-work-100003008820858,SENIOR INFRASTRUCTURE ENGINEER (5-Day Work),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,1,0,0,0,6
Not Specified,Middle,Canon Hongkong Company Limited,Not Specified,15-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Software Development","['Support and development for workflow applications', 'Drive and manage different DX projects', 'Training, UAT and technical support for systems']",/hk/en/job/senior-analyst-programmer-digital-transformation-100003008816677,Senior Analyst Programmer – Digital Transformation,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,1,5
Not Specified,Middle,Function One Computer Services,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Support, Security, Network & System","['Support daily operation on all network & security', 'Knowledge & experience on Cisco is a MUST', 'High salary, 5-days work, good prospect']",/hk/en/job/network-security-engineer-100003008827187,Network & Security Engineer,"Full Time, Permanent",Matriculated,NotSpecified,Data Scientist,0,0,0,1,0,0,0,0,2
Not Specified,Middle,China Construction Bank (Asia) Corporation Limited,http://www.asia.ccb.com/,19-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), IT Auditing, IT Project Management / Team Lead, IT Management","['IT Project Management Office', 'IT strategies / policies', 'IT audit']",/hk/en/job/pmo-professional-100003008826891,PMO Professional,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,5
Not Specified,Senior,Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),http://www.astri.org,17-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Engineering, Manufacturing & Production, Information Technology (IT), Hardware, Sciences, Lab, R&D, Research & Development (R&D)","['Optical Sensing', 'RD strategy', 'Electric Engineering, Physics, Optics']",/hk/en/job/senior-manager-principal-engineer-optical-sensing-100003008806614,"Senior Manager / Principal Engineer, Optical Sensing","Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,0,0,0,0,1
Not Specified,Middle,Canon Hongkong Company Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Information Technology (IT), Hardware, Support, Network & System","['Secondment to customer office, 5-day work week', 'IT infrastructure support & system administration', ""Minimum 5 years' relevant experience""]",/hk/en/job/it-support-engineer-1-year-contract-secondment-100003008822480,"IT Support Engineer (1-Year Contract, Secondment)","Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,0,0,0,1,0,0,0,0,5
Not Specified,Middle,BGC Group (HK) Limited,http://www.bgc-group.hk,12-10-2021,22-10-2021,0,['Blair @bgc-group.com'],Human Resources Management/Consultancy,"Information Technology (IT), Hardware, Support, Network & System","['Exp. in Linux System deploy & maintenance support', 'Knowledge in Linux , Kubernets , Docker , Kafka', 'Work-Life Balance; 5 day work week; Regular hours']",/hk/en/job/technical-support-engineer-linux-100003008811478,Technical Support Engineer (Linux),"Full Time, Permanent",Matriculated,NotSpecified,Data Scientist,0,0,0,1,0,0,0,1,1
Not Specified,Entry,Pigeon City Creative Computer Training Centre,http://www.pigeoncity.com.hk,18-10-2021,22-10-2021,0,['part-time @ pigeoncity.com.hk'],Education,"Engineering, Others, Information Technology (IT), Others, Sciences, Lab, R&D, Others","['Conduct Creative STEM courses to students', 'Responsible;Energetic with positive attitude', 'Background on programming and robotics (Advantage)']",/hk/en/job/creative-stem-course-tutor-%5Bpart-time%5D-100003008819910,Creative STEM Course Tutor [Part-time],"Contract,Temporary",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,1
Not Specified,Senior,Hong Kong Exchanges and Clearing Limited,http://www.hkex.com.hk,18-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), IT Management, Software Development","['C/C++ Software Engineer', 'DevOps background', 'Market Systems']",/hk/en/job/senior-systems-development-manager-market-systems-avp-100003008823186,Senior Systems Development Manager - Market Systems - AVP,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,1,0,0,10
Not Specified,Entry,TVB New Media Group Limited,http://www.tvb.com/,30-09-2021,22-10-2021,0,no-email@email.com,Media/Publishing/Printing,"Information Technology (IT), Network & System, Technical Writing, Data Scientist","['Perform data mining and feature engineering', 'Distill quantitative and qualitative data', 'Strong interest in data science']",/hk/en/job/data-analyst-100003008777282,Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,0,0,0,2
Not Specified,Entry,WilliamSELECT,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Software Development","['J2EE (e.g. EJB, Servlet)', 'Oracle PL/SQL', 'Stable working environment']",/hk/en/job/programmer-analyst-programmer-j2ee-100003008825257,Programmer/ Analyst Programmer (J2EE),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,1,1
Not Specified,Middle,China Tonghai Securities Limited,Not Specified,30-09-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), DBA, Product Management / Business Analyst, Data Scientist","['5 days work-week at Central', 'Education allowance, medical, dental and insurance', 'Financial industry experience is a plus']",/hk/en/job/data-analyst-100003008780702,Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,1,0,1,3
Not Specified,Entry,Quality HealthCare Medical Services Limited,http://www.qhms.com/,06-10-2021,22-10-2021,0,no-email@email.com,Medical/Pharmaceutical,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, E-commerce, Product Management / Business Analyst","['HD or above in Statistics/Computer Sci./Business', '3 yrs+ in business analysis and modeling exp.', 'Hands on experience in database, BI & ELT']",/hk/en/job/officer-business-analytics-100003008795519,"Officer, Business Analytics","Full Time, Permanent",Matriculated,NotSpecified,Data Scientist,1,0,1,0,1,0,0,1,3
Not Specified,Entry,China Construction Bank (Asia) Corporation Limited,http://www.asia.ccb.com/,19-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Security, Network & System, Banking / Finance, Risk Management","['Perform system administration related tasks', 'Degree holder in Computer Science', 'Minimum 3 years related work experience']",/hk/en/job/parameter-and-user-access-management-professional-100003008826122,Parameter and User Access Management Professional,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,0,0,0,3
Not Specified,Senior,Bank of China (Hong Kong) Limited,Not Specified,15-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), Product Management / Business Analyst","['AML', 'Business Analyst', 'IT']",/hk/en/job/aml-manager-business-analyst-aml-system-100003008818785,AML Manager (Business Analyst & AML System),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,3
Not Specified,Middle,Pathos Consultancy Limited,http://www.pathos.solutions,18-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, Software Development, Network & System","['Minimum 4 years .net programming experience', 'Renowned company background.', 'Attractive Package with great projects exposure']",/hk/en/job/net-developer-multiple-roles-investment-banks-financial-services-100003008823403,.Net Developer (Multiple roles)- Investment banks & Financial Services,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,1,3
Not Specified,Senior,Michael Page,http://www.michaelpage.com.hk,19-10-2021,22-10-2021,['2848 9544'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Product Management / Business Analyst","['Large scale R&D firm', 'Large scale project management', 'Digital transformation - Fintech']",/hk/en/job/fintech-project-manager-100003008826641,Fintech Project Manager,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,6
Not Specified,Entry,Kingvisions Consultants Limited,Not Specified,13-10-2021,22-10-2021,0,no-email@email.com,Others,"Information Technology (IT), Support","['Part time IT support. welcome student', 'Flexible Working, per hour/per day', 'Weekend working']",/hk/en/job/part-time-it-support-100003008813809,Part-time IT Support,"Contract,Temporary",Not Specified,HK$105-159/hour,Data Scientist,0,132,0,0,0,0,0,0,1
Not Specified,Entry,PeopleLink Services Limited,http://www.peoplelink-group.com/,07-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), DBA, Software Development, Data Scientist","['Data analytic, Dashboard Implementation', 'Familiar with Tableau, BI tools, coding and DB', 'Good package and fresh grad welcome']",/hk/en/job/data-analyst-business-intelligence-consultant-100003008799076,Data Analyst / Business Intelligence Consultant,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,1,0,0,1,0,1,1
Not Specified,Entry,Aigens Technology Limited,http://www.aigens.com,30-09-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Product Management / Business Analyst, Data Scientist","['Fast-growing & Regional Tech Company', 'Friendly and open working environment', 'Have a voice in development of data analytics']",/hk/en/job/data-analyst-100003008783297,Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,0,0,0,0,1
Not Specified,Senior,KOS International Limited,http://www.kos-intl.com,19-10-2021,22-10-2021,['3180 4921'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), IT Project Management / Team Lead","['Digital Transformation', 'Annual > HK$2mil', '5 days work week']",/hk/en/job/chief-transformation-officier-cto-100003008826225,Chief Transformation Officier (CTO),"Full Time, Permanent",Degree,HK$140K-160K/month,Data Scientist,0,166,0,0,1,0,0,0,1
Not Specified,Senior,SHOPLINE,Not Specified,19-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Product Management / Business Analyst","['Product Development experience', 'Fast growing e-commerce company', 'Attractive package and benefits']",/hk/en/job/product-manager-100003008824910,Product Manager,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,0,0,0,3
Not Specified,Middle,Ambition,http://www.ambition.com.hk,15-10-2021,22-10-2021,['3103 4312'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Security, Network & System, Others","['MNC', 'Network/ Firewall Support', 'Great exposure']",/hk/en/job/senior-network-security-engineer-cisco-and-firewall-100003008815365,Senior Network Security Engineer- Cisco and Firewall,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,0,0,0,0,5
Not Specified,Entry,Compathnion Technology Limited,https://www.compathnion.com,29-09-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Data Scientist","['Challenging and dynamic company', 'Big Data change the World', 'work independently']",/hk/en/job/data-analyst-100003008778193,Data Analyst,"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,1
Not Specified,Middle,"CLPS Technology (Hong Kong) Co., Limited",Not Specified,13-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), DBA, Software Development, Data Scientist","['DBA', 'MySQL, MS SQL', 'Competitive Package']",/hk/en/job/database-administrator-system-administrator-100003008814212,Database Administrator/ System Administrator,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,Data Scientist,0,0,0,0,0,0,0,1,2
Not Specified,Senior,Mirum Hong Kong,https://mirumhongkong.com/,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Technical / Functional Consulting","['Top digital agency with global network & exposure', 'The incubator for all-rounded digital experts', 'Best innovative digital firm in the region']",/hk/en/job/senior-manager-digital-solutions-projects-100003008821887,"Senior Manager, Digital Solutions & Projects","Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,0,0,0,8
Not Specified,Middle,Ambition,http://www.ambition.com.hk,15-10-2021,22-10-2021,['3103 4312'],no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), Support, Others","['MNC', 'Application Support', 'Great Learning Platform']",/hk/en/job/application-support-pos-crm-erp-25-29k-100003008818080,Application Support (POS/ CRM/ ERP)- 25-29k,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,0,0,0,1
Not Specified,Entry,PCCW Solutions,http://www.pccwsolutions.com,15-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Support, Software Development, Testing / QA","['Requirement study, analysis, design', 'Develop and maintain application programs', 'J2EE / JavaScript / Web application']",/hk/en/job/analyst-programmer-solution-developer-100003008816330,Analyst Programmer/Solution Developer,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,0,1
Not Specified,Senior,OPM Systems Company Limited,Not Specified,18-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), IT Project Management / Team Lead, Network & System, Technical / Functional Consulting","['Customization of Collaboration Software', 'HTML5, CSS, Tomcat, MariDB, PHP, Linux, JAVA', 'RestAPI, API, JavaScript']",/hk/en/job/consultant-100003008822823,Consultant,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,1,0,0,1,3
Not Specified,Entry,Time Medical Limited,http://www.time-medical.com,15-10-2021,22-10-2021,0,no-email@email.com,Medical/Pharmaceutical,"Information Technology (IT), Software Development, Testing / QA, Others","['5-day work, dental l& medical, flexi environment', 'Love innovation technology opportunity to learn', 'Less experience will be considered as Asst. SE']",/hk/en/job/imaging-software-engineer-100003008818999,Imaging Software Engineer,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,0,1,0,0,1
Not Specified,Middle,Macroview Telecom Limited,http://www.macroview.com,12-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Security, Network & System, Technical / Functional Consulting","['Develop customer-oriented automation and software', 'Develop good relationships with clients', 'Handle customer engagement activities']",/hk/en/job/solution-consultant-advanced-sp-network-infrastructure-solutions-100003008809475,Solution Consultant - Advanced SP & Network Infrastructure Solutions,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,1,0,0,2
